post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2012-01-26 00:00:00","<fortran>","9","5679","1","5","0","1"
"2012-02-15 00:00:00","<fortran>","3","442","3","1","0","1"
"2012-02-21 00:00:00","<fortran>","0","333","1","","0","1"
"2012-08-06 00:00:00","<fortran>","1","865","4","1","0","2"
"2012-10-19 00:00:00","<fortran>","0","688","1","","3","1"
"2012-10-21 00:00:00","<fortran>","0","134","1","","0","1"
"2012-12-19 00:00:00","<fortran>","1","1292","1","","3","1"
"2013-01-04 00:00:00","<fortran>","1","463","3","0","3","1"
"2013-01-28 00:00:00","<fortran>","4","1737","5","3","1","2"
"2013-01-30 00:00:00","<fortran>","0","77","1","","0","1"
"2013-02-07 00:00:00","<fortran>","2","13054","4","","4","2"
"2013-04-22 00:00:00","<fortran>","1","145","2","","3","1"
"2013-09-12 00:00:00","<fortran>","4","1368","1","","6","1"
"2013-09-13 00:00:00","<fortran>","3","2240","1","2","0","1"
"2013-10-25 00:00:00","<fortran>","4","586","1","","3","1"
"2013-11-07 00:00:00","<fortran>","1","52","1","","2","1"
"2013-12-17 00:00:00","<fortran>","1","180","2","","0","1"
"2014-01-31 00:00:00","<fortran>","0","90","0","","3","1"
"2014-02-23 00:00:00","<fortran>","2","426","1","","4","1"
"2014-03-09 00:00:00","<fortran>","2","915","3","","10","2"
"2014-03-11 00:00:00","<fortran>","0","340","3","","8","2"
"2014-04-12 00:00:00","<fortran>","0","100","1","","0","1"
"2014-04-26 00:00:00","<fortran>","1","817","2","","0","2"
"2014-05-06 00:00:00","<fortran>","0","300","3","","3","2"
"2014-05-14 00:00:00","<fortran>","3","167","1","","4","1"
"2014-05-27 00:00:00","<fortran>","0","244","4","","1","1"
"2014-07-03 00:00:00","<fortran>","3","282","1","1","2","1"
"2014-09-16 00:00:00","<fortran>","-1","105","1","","1","1"
"2014-11-05 00:00:00","<fortran>","0","121","2","","2","1"
"2015-01-29 00:00:00","<fortran>","0","1407","1","","2","1"
"2015-02-21 00:00:00","<fortran>","-1","180","1","","2","1"
"2015-03-09 00:00:00","<fortran>","1","145","2","","2","2"
"2015-04-05 00:00:00","<fortran>","0","150","2","","3","1"
"2015-04-29 00:00:00","<fortran>","0","105","1","","5","1"
"2015-05-14 00:00:00","<fortran>","-1","102","1","","2","1"
"2015-06-02 00:00:00","<fortran>","0","694","2","","4","1"
"2015-06-26 00:00:00","<fortran>","4","1096","1","0","0","1"
"2015-07-01 00:00:00","<fortran>","0","43","1","1","0","1"
"2015-07-15 00:00:00","<fortran>","1","119","1","1","2","1"
"2015-07-25 00:00:00","<fortran>","2","218","3","","4","1"
"2015-08-21 00:00:00","<fortran>","1","335","3","","1","1"
"2015-08-23 00:00:00","<fortran>","0","61","1","","2","1"
"2015-09-05 00:00:00","<fortran>","1","252","2","","0","1"
"2015-09-29 00:00:00","<fortran>","1","748","1","","3","1"
"2015-10-07 00:00:00","<fortran>","4","339","1","","3","1"
"2015-10-26 00:00:00","<fortran>","0","27","0","","2","1"
"2015-11-11 00:00:00","<fortran>","0","207","1","","4","2"
"2015-11-27 00:00:00","<fortran>","1","92","2","","0","1"
"2015-12-23 00:00:00","<fortran>","1","176","2","","2","1"
"2015-12-26 00:00:00","<fortran>","11","5638","2","1","0","1"
"2016-01-13 00:00:00","<fortran>","0","127","1","","3","1"
"2016-02-03 00:00:00","<fortran>","0","78","1","","2","1"
"2016-04-25 00:00:00","<fortran>","2","102","1","","0","1"
"2016-05-09 00:00:00","<fortran>","1","111","3","","0","1"
"2016-05-17 00:00:00","<fortran>","0","1749","1","","2","1"
"2016-05-25 00:00:00","<fortran>","1","226","2","","4","2"
"2016-06-04 00:00:00","<fortran>","0","74","0","","6","1"
"2016-06-20 00:00:00","<fortran>","2","44","1","","2","1"
"2016-07-24 00:00:00","<fortran>","0","83","1","","5","1"
"2016-08-01 00:00:00","<fortran>","0","1264","1","","2","1"
"2016-08-17 00:00:00","<fortran>","-1","68","1","","4","1"
"2016-09-16 00:00:00","<fortran>","1","84","2","","2","1"
"2016-10-09 00:00:00","<fortran>","2","517","1","","2","1"
"2016-10-12 00:00:00","<fortran>","1","128","3","","8","2"
"2016-11-23 00:00:00","<fortran>","0","54","1","","1","1"
"2016-12-17 00:00:00","<fortran>","1","78","1","","2","1"
"2016-12-30 00:00:00","<fortran>","1","53","1","","0","1"
"2017-01-10 00:00:00","<fortran>","2","79","2","","2","1"
"2017-01-21 00:00:00","<fortran>","0","1217","3","1","7","2"
"2017-02-14 00:00:00","<fortran>","0","711","3","","17","3"
"2017-03-15 00:00:00","<fortran>","3","143","1","","0","1"
"2017-04-23 00:00:00","<fortran>","0","132","0","","2","1"
"2017-04-28 00:00:00","<fortran>","0","69","1","1","4","1"
"2017-05-04 00:00:00","<fortran>","0","737","1","","3","1"
"2017-05-30 00:00:00","<fortran>","1","137","6","","3","2"
"2017-06-02 00:00:00","<fortran>","0","38","1","","5","1"
"2017-06-07 00:00:00","<fortran>","2","125","2","","8","2"
"2017-07-06 00:00:00","<fortran>","0","62","2","","8","1"
"2017-07-15 00:00:00","<fortran>","-1","81","1","","2","1"
"2017-07-23 00:00:00","<fortran>","2","263","1","1","15","2"
"2017-07-25 00:00:00","<fortran>","2","196","3","","12","4"
"2017-08-10 00:00:00","<fortran>","0","76","1","","11","1"
