post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2012-05-04 00:00:00","<d3.js>","8","15791","1","4","0","1"
"2012-05-14 00:00:00","<d3.js>","15","13497","2","4","2","1"
"2012-06-28 00:00:00","<d3.js>","0","629","1","","0","1"
"2012-07-01 00:00:00","<d3.js>","2","5552","1","","0","1"
"2012-07-25 00:00:00","<d3.js>","27","24017","1","6","1","1"
"2012-09-18 00:00:00","<d3.js>","1","161","1","1","0","1"
"2012-10-02 00:00:00","<d3.js>","3","277","1","","0","1"
"2012-10-23 00:00:00","<d3.js>","23","23715","3","5","2","1"
"2012-11-05 00:00:00","<d3.js>","2","832","1","","1","1"
"2012-11-29 00:00:00","<d3.js>","4","2977","2","","0","1"
"2013-01-21 00:00:00","<d3.js>","5","79365","5","3","6","3"
"2013-02-27 00:00:00","<d3.js>","2","4082","3","1","2","3"
"2013-03-10 00:00:00","<d3.js>","0","4978","2","1","0","2"
"2013-03-13 00:00:00","<d3.js>","4","5085","3","","2","3"
"2013-03-15 00:00:00","<d3.js>","0","2279","1","","4","1"
"2013-03-20 00:00:00","<d3.js>","1","13000","4","0","4","3"
"2013-03-21 00:00:00","<d3.js>","4","1869","1","1","0","1"
"2013-03-26 00:00:00","<d3.js>","0","1449","1","","6","2"
"2013-04-02 00:00:00","<d3.js>","32","64190","6","13","4","2"
"2013-04-18 00:00:00","<d3.js>","0","196","2","","0","2"
"2013-04-19 00:00:00","<d3.js>","3","1251","2","","3","2"
"2013-05-07 00:00:00","<d3.js>","8","10132","6","4","3","4"
"2013-05-12 00:00:00","<d3.js>","1","2545","2","","5","2"
"2013-05-15 00:00:00","<d3.js>","0","2617","2","2","3","2"
"2013-05-17 00:00:00","<d3.js>","5","6147","3","7","7","3"
"2013-06-02 00:00:00","<d3.js>","0","286","2","","0","2"
"2013-06-05 00:00:00","<d3.js>","0","3031","1","","0","1"
"2013-07-15 00:00:00","<d3.js>","2","4741","5","","0","3"
"2013-08-02 00:00:00","<d3.js>","1","5668","3","1","7","3"
"2013-08-18 00:00:00","<d3.js>","3","6346","2","1","0","1"
"2013-08-26 00:00:00","<d3.js>","0","1943","2","","8","2"
"2013-09-09 00:00:00","<d3.js>","15","28362","3","1","8","4"
"2013-09-19 00:00:00","<d3.js>","6","5262","2","1","1","3"
"2013-10-02 00:00:00","<d3.js>","2","397","2","","3","2"
"2013-10-03 00:00:00","<d3.js>","2","2626","3","","7","2"
"2013-10-16 00:00:00","<d3.js>","3","1636","3","1","7","2"
"2013-10-21 00:00:00","<d3.js>","1","1583","1","","7","2"
"2013-10-24 00:00:00","<d3.js>","0","742","2","","0","1"
"2013-10-29 00:00:00","<d3.js>","4","2885","6","","6","5"
"2013-11-03 00:00:00","<d3.js>","7","2484","1","1","0","1"
"2013-11-24 00:00:00","<d3.js>","1","188","1","","0","1"
"2013-11-30 00:00:00","<d3.js>","1","2354","1","1","2","1"
"2013-12-02 00:00:00","<d3.js>","39","36900","10","13","7","8"
"2013-12-24 00:00:00","<d3.js>","20","8392","8","4","0","1"
"2013-12-26 00:00:00","<d3.js>","5","1565","1","3","3","1"
"2014-01-09 00:00:00","<d3.js>","6","13216","4","2","7","2"
"2014-01-13 00:00:00","<d3.js>","2","1230","1","","0","1"
"2014-01-24 00:00:00","<d3.js>","4","7005","1","1","0","1"
"2014-01-27 00:00:00","<d3.js>","1","4100","4","","0","3"
"2014-01-29 00:00:00","<d3.js>","0","564","0","","2","1"
"2014-02-04 00:00:00","<d3.js>","0","871","2","","6","3"
"2014-02-07 00:00:00","<d3.js>","0","196","1","","4","1"
"2014-02-09 00:00:00","<d3.js>","-1","105","2","","3","1"
"2014-02-14 00:00:00","<d3.js>","3","3182","1","","9","3"
"2014-02-15 00:00:00","<d3.js>","1","2231","1","","1","1"
"2014-02-20 00:00:00","<d3.js>","0","503","1","","2","1"
