post_date,tags,score_days,favourites_days,answers_days,comments_days,usage_cnt
"2016-11-03 00:00:00","<perl>","10","1","8","14","5"
"2016-04-04 00:00:00","<perl>","1","0","5","2","2"
"2011-11-08 00:00:00","<perl>","1","0","5","3","3"
"2013-04-19 00:00:00","<perl>","3","0","18","21","8"
"2013-10-26 00:00:00","<perl>","-3","0","2","4","2"
"2015-07-10 00:00:00","<perl>","3","0","7","11","3"
"2013-09-25 00:00:00","<perl>","11","0","13","7","8"
"2013-12-22 00:00:00","<rust>","3","0","1","","1"
"2009-07-06 00:00:00","<fortran>","","","1","1","1"
"2011-04-21 00:00:00","<perl>","17","1","21","5","5"
"2014-02-13 00:00:00","<rust>","3","0","1","","1"
"2009-04-14 00:00:00","<perl>","6","4","3","","1"
"2015-10-07 00:00:00","<rust>","10","0","7","","4"
"2017-04-07 00:00:00","<perl>","1","0","3","28","3"
"2013-12-09 00:00:00","<rust>","3","0","1","3","1"
"2010-07-26 00:00:00","<perl>","6","0","10","9","3"
"2015-02-12 00:00:00","<pascal>","","","1","4","1"
"2016-11-18 00:00:00","<rust>","1","0","1","1","1"
"2017-02-08 00:00:00","<rust>","1","0","","5","1"
"2012-09-09 00:00:00","<perl>","1","0","6","7","3"
"2013-05-11 00:00:00","<fortran>","","","3","2","2"
"2012-09-29 00:00:00","<pascal>","","","2","1","1"
"2010-08-05 00:00:00","<perl>","2","0","13","7","6"
"2014-10-23 00:00:00","<perl>","1","0","3","3","3"
"2012-01-25 00:00:00","<perl>","7","0","5","6","2"
"2016-02-10 00:00:00","<rust>","8","0","5","6","4"
"2015-03-07 00:00:00","<rust>","6","2","3","4","3"
"2017-05-07 00:00:00","<perl>","-5","0","1","20","1"
"2013-12-06 00:00:00","<perl>","6","1","11","23","8"
"2017-02-05 00:00:00","<perl>","1","0","1","6","1"
"2010-09-10 00:00:00","<perl>","1","0","9","3","2"
"2010-07-28 00:00:00","<fortran>","1","0","2","3","1"
"2010-02-14 00:00:00","<perl>","7","0","3","6","1"
"2010-06-29 00:00:00","<perl>","7","0","9","14","4"
"2015-05-15 00:00:00","<rust>","6","1","7","4","5"
"2017-12-13 00:00:00","<rust>","16","1","8","4","5"
"2014-11-02 00:00:00","<rust>","","","1","","1"
"2011-03-23 00:00:00","<fortran>","1","0","2","5","1"
"2015-07-13 00:00:00","<perl>","11","0","4","31","3"
"2014-09-08 00:00:00","<rust>","2","0","2","1","2"
"2015-07-24 00:00:00","<perl>","4","0","7","9","4"
"2017-01-06 00:00:00","<rust>","6","0","4","1","5"
"2015-04-20 00:00:00","<perl>","-2","0","3","19","2"
"2010-02-16 00:00:00","<perl>","11","0","4","4","2"
"2009-10-24 00:00:00","<perl>","1","0","4","1","1"
"2014-02-14 00:00:00","<perl>","1","0","4","3","2"
"2016-02-08 00:00:00","<perl>","-2","0","1","1","1"
"2017-10-24 00:00:00","<perl>","1","0","2","5","1"
"2016-02-18 00:00:00","<perl>","4","0","12","18","7"
"2014-12-22 00:00:00","<perl>","-1","0","3","2","1"
"2011-12-08 00:00:00","<fortran>","0","0","1","","1"
"2017-10-27 00:00:00","<perl>","-2","0","5","20","2"
"2014-05-28 00:00:00","<rust>","2","0","1","","1"
"2015-12-30 00:00:00","<rust>","2","0","2","4","2"
"2014-04-14 00:00:00","<fortran>","1","0","2","2","1"
"2010-06-18 00:00:00","<perl>","9","6","8","3","3"
"2015-03-22 00:00:00","<perl>","3","1","5","6","4"
"2016-02-03 00:00:00","<fortran>","","","1","2","1"
"2010-12-01 00:00:00","<perl>","2","0","1","","1"
"2017-06-02 00:00:00","<rust>","0","0","1","3","2"
"2017-06-07 00:00:00","<rust>","2","0","2","","1"
"2015-01-31 00:00:00","<rust>","3","0","4","","3"
"2017-02-13 00:00:00","<perl>","-1","0","8","18","6"
"2011-01-26 00:00:00","<perl>","7","1","14","3","5"
"2009-06-03 00:00:00","<perl>","3","1","7","6","2"
"2011-09-23 00:00:00","<perl>","6","1","6","1","2"
"2017-05-28 00:00:00","<rust>","1","1","1","12","2"
"2015-10-20 00:00:00","<rust>","4","0","4","","4"
"2014-03-05 00:00:00","<rust>","1","0","1","","1"
"2011-04-12 00:00:00","<fortran>","1","0","1","1","1"
"2016-11-30 00:00:00","<rust>","6","0","4","2","1"
"2016-11-30 00:00:00","<perl>","2","0","4","4","2"
"2015-05-28 00:00:00","<rust>","23","3","7","2","6"
"2015-10-26 00:00:00","<rust>","4","0","1","","1"
"2017-12-14 00:00:00","<rust>","1","0","3","4","3"
"2014-12-12 00:00:00","<fortran>","2","1","1","16","2"
"2016-10-15 00:00:00","<perl>","0","0","1","8","1"
"2016-01-13 00:00:00","<perl>","1","0","6","2","3"
"2014-10-10 00:00:00","<rust>","5","2","2","4","2"
"2013-10-29 00:00:00","<fortran>","2","0","2","1","1"
"2014-01-31 00:00:00","<fortran>","","","","3","1"
"2015-12-24 00:00:00","<perl>","4","0","1","3","1"
"2010-02-11 00:00:00","<perl>","","","","1","1"
"2014-11-07 00:00:00","<pascal>","-1","0","1","3","1"
"2017-12-23 00:00:00","<perl>","1","0","1","2","1"
"2017-02-10 00:00:00","<rust>","2","1","3","15","3"
"2016-07-20 00:00:00","<fortran>","0","0","2","6","1"
"2011-05-07 00:00:00","<perl>","2","0","3","","1"
"2011-11-24 00:00:00","<perl>","0","0","2","2","2"
"2011-03-01 00:00:00","<perl>","","","10","9","3"
"2014-01-10 00:00:00","<fortran>","3","0","4","","1"
"2016-10-18 00:00:00","<perl>","3","0","8","20","6"
"2017-11-20 00:00:00","<perl>","","","5","3","2"
"2015-06-24 00:00:00","<rust>","5","1","4","","3"
"2011-03-15 00:00:00","<perl>","10","0","22","8","6"
"2014-02-26 00:00:00","<fortran>","2","0","7","10","2"
"2016-08-13 00:00:00","<fortran>","","","","2","1"
"2013-06-18 00:00:00","<perl>","-1","5","8","5","4"
"2016-10-27 00:00:00","<perl>","-3","2","4","13","1"
"2016-04-08 00:00:00","<fortran>","","","","12","1"
"2017-12-22 00:00:00","<rust>","2","0","","1","1"
"2010-03-05 00:00:00","<perl>","4","1","10","4","2"
