post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2014-11-22 00:00:00","<perl>","1","77","3","","0","1"
"2011-09-08 00:00:00","<perl>","31","17256","13","10","7","4"
"2011-04-29 00:00:00","<perl>","1","2693","2","","0","1"
"2015-08-17 00:00:00","<fortran>","1","110","2","","2","1"
"2017-10-08 00:00:00","<fortran>","2","388","3","","27","4"
"2010-04-14 00:00:00","<perl>","6","1489","9","1","1","3"
"2012-10-19 00:00:00","<perl>","4","5827","14","","14","6"
"2017-01-24 00:00:00","<perl>","3","186","3","","26","3"
"2016-10-15 00:00:00","<perl>","0","122","1","","8","1"
"2017-08-31 00:00:00","<rust>","0","24","0","","1","1"
"2011-10-19 00:00:00","<fortran>","1","112","1","1","1","1"
"2017-06-15 00:00:00","<fortran>","2","149","1","1","6","1"
"2017-10-17 00:00:00","<pascal>","-1","100","1","","2","1"
"2016-11-20 00:00:00","<rust>","4","160","2","","1","2"
"2010-02-16 00:00:00","<perl>","13","2080","4","1","4","2"
"2010-04-09 00:00:00","<perl>","1","2578","3","","1","1"
"2017-03-17 00:00:00","<rust>","1","96","1","","4","1"
"2017-08-03 00:00:00","<perl>","2","84","2","","0","2"
"2016-01-05 00:00:00","<perl>","-1","206","10","","5","3"
"2017-03-30 00:00:00","<perl>","-7","215","2","","10","3"
"2016-10-29 00:00:00","<perl>","0","63","4","","0","1"
"2017-12-14 00:00:00","<perl>","2","249","5","","17","4"
"2016-08-05 00:00:00","<rust>","8","1508","2","","1","2"
"2011-08-06 00:00:00","<perl>","2","150","1","1","1","1"
"2010-09-28 00:00:00","<pascal>","7","3788","11","2","1","1"
"2017-02-20 00:00:00","<rust>","14","342","3","","6","3"
"2015-07-01 00:00:00","<rust>","8","1557","8","1","5","4"
"2014-09-02 00:00:00","<rust>","2","4247","3","","0","2"
"2017-04-27 00:00:00","<rust>","2","125","2","","2","1"
"2016-02-23 00:00:00","<perl>","0","206","1","","1","1"
"2017-03-02 00:00:00","<rust>","11","508","3","","9","3"
"2015-10-29 00:00:00","<perl>","4","597","9","1","10","6"
"2017-04-09 00:00:00","<rust>","6","670","4","1","1","3"
"2014-07-17 00:00:00","<perl>","11","764","22","","11","9"
"2009-06-09 00:00:00","<perl>","55","5825","23","15","17","1"
"2014-06-25 00:00:00","<rust>","12","3542","3","2","4","1"
"2016-07-17 00:00:00","<rust>","1","143","1","","0","1"
"2017-10-18 00:00:00","<rust>","2","186","3","1","5","1"
"2015-08-03 00:00:00","<rust>","3","1221","4","0","1","2"
"2017-01-06 00:00:00","<fortran>","0","118","0","","9","2"
"2014-10-05 00:00:00","<rust>","9","3254","2","","0","2"
"2015-09-16 00:00:00","<perl>","0","159","5","","16","3"
"2017-10-30 00:00:00","<rust>","2","137","2","","2","2"
"2016-03-04 00:00:00","<perl>","9","619","13","2","17","7"
"2015-10-20 00:00:00","<perl>","1","3927","8","","21","4"
"2010-10-17 00:00:00","<perl>","0","205","4","","3","1"
"2012-09-11 00:00:00","<perl>","4","5151","17","0","22","8"
"2014-06-14 00:00:00","<perl>","-4","125","4","","6","2"
"2017-07-18 00:00:00","<fortran>","1","103","1","","3","1"
"2014-01-16 00:00:00","<fortran>","0","526","1","","1","1"
"2012-10-23 00:00:00","<perl>","2","17542","8","1","15","5"
"2015-01-19 00:00:00","<pascal>","0","120","2","","0","1"
"2014-02-25 00:00:00","<perl>","7","8987","23","1","22","11"
"2017-09-14 00:00:00","<perl>","41","2172","4","2","16","2"
"2013-09-07 00:00:00","<rust>","10","2489","2","1","0","1"
"2013-10-25 00:00:00","<rust>","2","4080","1","","1","1"
"2012-11-14 00:00:00","<perl>","6","3255","5","","9","4"
"2010-01-24 00:00:00","<perl>","22","3512","4","2","2","1"
"2014-08-06 00:00:00","<rust>","18","12496","6","0","6","4"
"2017-03-01 00:00:00","<rust>","5","251","2","0","5","3"
"2013-08-26 00:00:00","<fortran>","1","3570","1","","2","1"
"2015-03-29 00:00:00","<fortran>","1","84","1","","0","1"
"2016-11-28 00:00:00","<fortran>","3","92","1","","5","1"
"2009-04-13 00:00:00","<perl>","10","302","1","1","0","1"
"2016-01-05 00:00:00","<fortran>","1","2130","4","","2","2"
"2010-01-12 00:00:00","<perl>","2","1581","2","","0","1"
"2015-12-12 00:00:00","<rust>","4","469","2","","1","2"
