post_date,tags,score_days,favourites_days,answers_days,comments_days,usage_cnt
"2008-08-20 00:00:00","<html>","2","0","12","","1"
"2008-09-03 00:00:00","<javascript>","8","0","16","2","4"
"2008-09-06 00:00:00","<jquery>","2","0","3","","1"
"2008-09-16 00:00:00","<css>","10","3","17","1","1"
"2008-09-16 00:00:00","<html>","5","0","12","","2"
"2008-09-17 00:00:00","<css>","1","0","4","3","1"
"2008-09-17 00:00:00","<php>","1","0","1","","1"
"2008-09-18 00:00:00","<php>","3","0","11","1","2"
"2008-09-24 00:00:00","<vba>","1","0","3","","1"
"2008-09-26 00:00:00","<javascript>","7","1","13","","3"
"2008-09-29 00:00:00","<css>","15","1","7","","1"
"2008-09-30 00:00:00","<shell>","4","0","2","","1"
"2008-10-03 00:00:00","<javascript>","3","2","3","","1"
"2008-10-04 00:00:00","<javascript>","4","2","2","","1"
"2008-10-08 00:00:00","<javascript>","5","0","7","4","2"
"2008-10-13 00:00:00","<javascript>","1","0","5","","2"
"2008-10-15 00:00:00","<jquery>","12","4","8","3","3"
"2008-10-21 00:00:00","<jquery>","2","0","2","1","1"
"2008-10-24 00:00:00","<css>","","","4","","1"
"2008-10-26 00:00:00","<php>","1","0","3","","1"
"2008-10-30 00:00:00","<php>","3","1","8","","2"
"2008-10-31 00:00:00","<javascript>","2","1","8","2","2"
"2008-11-03 00:00:00","<javascript>","5","2","11","2","3"
"2008-11-05 00:00:00","<css>","1","0","5","","1"
"2008-11-06 00:00:00","<php>","-5","0","10","5","2"
"2008-11-07 00:00:00","<html>","3","0","6","","1"
"2008-11-11 00:00:00","<javascript>","","","1","","1"
"2008-11-13 00:00:00","<delphi>","3","0","7","2","2"
"2008-11-15 00:00:00","<javascript>","1","0","5","","1"
"2008-11-15 00:00:00","<jquery>","","","6","1","3"
"2008-11-17 00:00:00","<css>","1","0","1","","1"
"2008-11-18 00:00:00","<css>","5","3","13","","2"
"2008-11-22 00:00:00","<javascript>","3","0","6","1","2"
"2008-11-22 00:00:00","<jquery>","","","2","","1"
"2008-11-25 00:00:00","<css>","","","3","","1"
"2008-11-25 00:00:00","<vba>","1","0","3","1","1"
"2008-11-27 00:00:00","<javascript>","2","0","4","","1"
"2008-12-02 00:00:00","<jquery>","0","1","2","","1"
"2008-12-03 00:00:00","<php>","-4","0","2","2","1"
"2008-12-04 00:00:00","<delphi>","1","0","5","","1"
"2008-12-04 00:00:00","<php>","3","2","11","1","1"
"2008-12-06 00:00:00","<php>","3","0","8","","2"
"2008-12-11 00:00:00","<javascript>","5","0","3","","1"
"2008-12-11 00:00:00","<shell>","1","0","3","","1"
"2008-12-12 00:00:00","<delphi>","4","1","5","3","1"
"2008-12-12 00:00:00","<html>","","","3","","1"
"2008-12-22 00:00:00","<delphi>","1","0","3","","1"
"2008-12-22 00:00:00","<jquery>","1","0","1","","1"
"2008-12-25 00:00:00","<jquery>","0","2","1","1","1"
"2008-12-30 00:00:00","<javascript>","6","1","10","","4"
"2009-01-02 00:00:00","<php>","1","0","6","","1"
"2009-01-06 00:00:00","<delphi>","5","1","8","","1"
"2009-01-08 00:00:00","<javascript>","5","2","21","5","6"
"2009-01-09 00:00:00","<jquery>","2","0","5","","2"
"2009-01-10 00:00:00","<css>","","","2","1","1"
"2009-01-12 00:00:00","<php>","3","0","9","","2"
"2009-01-14 00:00:00","<php>","2","0","11","9","3"
"2009-01-16 00:00:00","<javascript>","0","0","2","4","1"
"2009-01-16 00:00:00","<jquery>","2","0","2","","1"
"2009-01-16 00:00:00","<php>","","","2","","1"
"2009-01-18 00:00:00","<delphi>","4","0","8","","2"
"2009-01-20 00:00:00","<php>","1","0","18","5","4"
"2009-01-21 00:00:00","<javascript>","4","0","9","2","4"
"2009-01-22 00:00:00","<css>","","","3","","1"
"2009-01-24 00:00:00","<php>","0","0","3","1","1"
"2009-01-26 00:00:00","<delphi>","3","0","6","","2"
"2009-01-26 00:00:00","<php>","2","0","7","1","2"
"2009-01-27 00:00:00","<javascript>","1","3","6","2","1"
"2009-01-31 00:00:00","<html>","","","2","1","1"
"2009-02-02 00:00:00","<css>","3","2","5","","2"
"2009-02-05 00:00:00","<css>","1","1","5","3","2"
"2009-02-07 00:00:00","<jquery>","3","0","3","1","1"
"2009-02-08 00:00:00","<javascript>","4","2","5","5","2"
"2009-02-08 00:00:00","<jquery>","1","0","5","","2"
"2009-02-09 00:00:00","<css>","3","3","14","4","3"
"2009-02-09 00:00:00","<html>","4","0","8","3","1"
"2009-02-13 00:00:00","<jquery>","4","0","1","","1"
"2009-02-15 00:00:00","<javascript>","1","0","5","","1"
"2009-02-15 00:00:00","<jquery>","2","0","4","1","1"
"2009-02-15 00:00:00","<php>","1","1","2","","1"
"2009-02-25 00:00:00","<jquery>","1","0","4","3","2"
"2009-02-25 00:00:00","<php>","9","3","15","1","3"
"2009-02-27 00:00:00","<javascript>","5","2","8","","2"
"2009-02-27 00:00:00","<jquery>","3","0","10","4","3"
"2009-02-28 00:00:00","<javascript>","3","0","7","4","3"
"2009-03-02 00:00:00","<jquery>","1","0","6","2","3"
"2009-03-07 00:00:00","<css>","","","7","1","2"
"2009-03-10 00:00:00","<css>","2","0","5","1","2"
"2009-03-10 00:00:00","<php>","1","0","7","6","3"
"2009-03-11 00:00:00","<javascript>","","","1","","1"
"2009-03-11 00:00:00","<jquery>","","","2","1","1"
"2009-03-12 00:00:00","<php>","0","1","9","4","3"
"2009-03-13 00:00:00","<delphi>","2","0","4","1","2"
"2009-03-17 00:00:00","<javascript>","","","1","1","1"
"2009-03-17 00:00:00","<jquery>","1","1","12","3","4"
"2009-03-19 00:00:00","<html>","","","2","","1"
"2009-03-19 00:00:00","<javascript>","5","1","15","4","5"
"2009-03-20 00:00:00","<jquery>","1","0","8","3","3"
"2009-03-22 00:00:00","<javascript>","1","0","2","","1"
"2009-03-23 00:00:00","<css>","1","2","4","2","1"
"2009-03-23 00:00:00","<html>","1","0","7","1","2"
"2009-03-26 00:00:00","<javascript>","1","0","3","","1"
"2008-08-19 00:00:00","<css>","1","0","2","","1"
"2008-08-29 00:00:00","<php>","3","0","4","","1"
"2008-08-30 00:00:00","<jquery>","3","1","2","","1"
"2008-09-08 00:00:00","<javascript>","4","0","11","","1"
"2008-09-08 00:00:00","<php>","12","2","12","","3"
"2008-09-13 00:00:00","<php>","","","3","","1"
"2008-09-15 00:00:00","<css>","2","0","5","","2"
"2008-09-18 00:00:00","<css>","1","0","7","","2"
"2008-09-18 00:00:00","<javascript>","1","0","1","","1"
"2008-09-20 00:00:00","<css>","2","0","9","","2"
"2008-09-23 00:00:00","<php>","3","0","5","","1"
"2008-09-25 00:00:00","<css>","3","1","3","","1"
"2008-09-29 00:00:00","<delphi>","4","0","4","","1"
"2008-10-05 00:00:00","<javascript>","1","0","3","","1"
"2008-10-10 00:00:00","<javascript>","4","1","14","","2"
"2008-10-20 00:00:00","<javascript>","15","2","11","1","2"
"2008-10-24 00:00:00","<php>","","","3","","1"
"2008-10-27 00:00:00","<php>","4","0","9","","2"
"2008-10-28 00:00:00","<php>","1","0","2","","1"
"2008-10-29 00:00:00","<html>","1","0","4","","1"
"2008-10-29 00:00:00","<javascript>","7","0","8","","2"
"2008-11-02 00:00:00","<delphi>","2","1","2","","1"
"2008-11-04 00:00:00","<delphi>","7","0","1","","1"
"2008-11-05 00:00:00","<php>","4","4","10","","2"
"2008-11-09 00:00:00","<jquery>","3","0","7","","2"
"2008-11-13 00:00:00","<css>","10","3","5","","1"
"2008-11-17 00:00:00","<delphi>","1","1","2","","1"
