post_date,TagName,num_per_day
"2012-12-02 00:00:00","c#","360"
"2017-10-11 00:00:00","fortran","3"
"2015-12-12 00:00:00","perl","16"
"2010-03-12 00:00:00","ruby","48"
"2013-02-03 00:00:00","ruby","108"
"2017-09-26 00:00:00","go","28"
"2011-04-03 00:00:00","shell","5"
"2010-04-30 00:00:00","delphi","39"
"2008-11-05 00:00:00","c++","108"
"2014-01-10 00:00:00","html","720"
"2016-06-30 00:00:00","html","679"
"2015-06-30 00:00:00","c","158"
"2014-05-04 00:00:00","fortran","1"
"2011-02-12 00:00:00","perl","20"
"2016-09-15 00:00:00","vba","78"
"2017-12-20 00:00:00","r","195"
"2010-09-18 00:00:00","shell","33"
"2016-10-22 00:00:00","fortran","3"
"2014-04-24 00:00:00","jquery","939"
"2016-04-13 00:00:00","java","1223"
"2012-01-21 00:00:00","hadoop","6"
"2017-06-04 00:00:00","hadoop","7"
"2017-10-11 00:00:00","php","603"
"2012-08-03 00:00:00","css","339"
"2015-06-28 00:00:00","css","275"
"2008-10-07 00:00:00","html","32"
"2009-09-12 00:00:00","c++","68"
"2015-01-25 00:00:00","c++","255"
"2013-02-18 00:00:00","c","230"
"2010-03-29 00:00:00","r","7"
"2012-09-16 00:00:00","r","34"
"2009-09-29 00:00:00","shell","23"
"2015-01-22 00:00:00","python","619"
"2008-12-25 00:00:00","java","35"
"2012-08-05 00:00:00","hadoop","4"
"2008-10-03 00:00:00","perl","29"
"2012-12-12 00:00:00","php","875"
"2016-06-25 00:00:00","scala","22"
"2014-03-04 00:00:00","ruby","154"
"2013-10-04 00:00:00","cobol","2"
"2010-05-17 00:00:00","javascript","328"
"2015-06-02 00:00:00","fortran","6"
"2017-10-16 00:00:00","java","687"
"2012-03-12 00:00:00","perl","48"
"2010-10-24 00:00:00","scala","15"
"2014-11-20 00:00:00","vba","60"
"2010-03-25 00:00:00","python","156"
"2016-11-22 00:00:00","html","537"
"2013-03-09 00:00:00","c","196"
"2016-07-21 00:00:00","jquery","621"
"2012-03-25 00:00:00","hadoop","10"
"2008-11-07 00:00:00","php","71"
