post_date,tags,score_days,favourites_days,answers_days,comments_days,usage_cnt
"2008-08-06 00:00:00","<c#>","1","0","3","","1"
"2008-08-06 00:00:00","<python>","9","1","2","","1"
"2008-08-06 00:00:00","<sql>","4","0","3","","1"
"2008-08-14 00:00:00","<ruby>","","","2","","1"
"2008-08-20 00:00:00","<c#>","","","5","1","2"
"2008-08-21 00:00:00","<c#>","3","0","3","","1"
"2008-08-30 00:00:00","<ruby>","3","0","6","","1"
"2008-09-03 00:00:00","<c>","","","3","","1"
"2008-09-12 00:00:00","<sql>","23","1","15","","3"
"2008-09-15 00:00:00","<java>","8","2","10","1","2"
"2008-09-15 00:00:00","<ruby>","2","0","3","","1"
"2008-09-16 00:00:00","<c>","","","8","","1"
"2008-09-17 00:00:00","<c++>","8","0","19","2","2"
"2008-09-18 00:00:00","<c++>","3","1","9","","1"
"2008-09-19 00:00:00","<c#>","0","0","6","3","2"
"2008-09-19 00:00:00","<ruby>","5","0","2","","1"
"2008-09-27 00:00:00","<c++>","9","1","15","","2"
"2008-09-28 00:00:00","<c#>","5","0","11","1","2"
"2008-10-01 00:00:00","<c#>","2","0","17","2","2"
"2008-10-01 00:00:00","<c++>","1","0","3","","1"
"2008-10-02 00:00:00","<c#>","2","0","7","2","2"
"2008-10-02 00:00:00","<c++>","6","0","12","2","1"
"2008-10-03 00:00:00","<sql>","1","0","6","2","1"
"2008-10-07 00:00:00","<c++>","3","7","10","2","1"
"2008-10-07 00:00:00","<java>","16","5","31","","3"
"2008-10-07 00:00:00","<ruby>","","","3","","2"
"2008-10-09 00:00:00","<python>","7","0","12","","2"
"2008-10-09 00:00:00","<sql>","0","0","12","6","2"
"2008-10-10 00:00:00","<java>","1","0","5","1","1"
"2008-10-13 00:00:00","<java>","1","0","1","1","1"
"2008-10-15 00:00:00","<sql>","8","2","10","3","2"
"2008-10-20 00:00:00","<c>","","","3","2","1"
"2008-10-21 00:00:00","<python>","2","0","2","","1"
"2008-10-22 00:00:00","<c#>","18","1","14","3","2"
"2008-10-22 00:00:00","<sql>","2","0","3","","1"
"2008-10-23 00:00:00","<c#>","4","1","11","15","3"
"2008-10-26 00:00:00","<java>","5","0","12","1","1"
"2008-10-27 00:00:00","<c#>","13","0","22","","4"
"2008-10-27 00:00:00","<java>","0","1","3","3","1"
"2008-10-28 00:00:00","<c#>","3","0","9","1","3"
"2008-10-28 00:00:00","<java>","7","4","14","1","2"
"2008-10-29 00:00:00","<ruby>","5","1","8","","1"
"2008-10-29 00:00:00","<sql>","6","2","7","","1"
"2008-10-30 00:00:00","<python>","7","3","9","1","1"
"2008-10-31 00:00:00","<ruby>","1","0","7","1","1"
"2008-11-03 00:00:00","<sql>","2","0","4","","1"
"2008-11-06 00:00:00","<java>","12","1","9","","2"
"2008-11-06 00:00:00","<python>","1","1","5","","1"
"2008-11-07 00:00:00","<c#>","1","0","9","","2"
"2008-11-07 00:00:00","<sql>","3","1","8","","1"
"2008-11-10 00:00:00","<c++>","6","0","8","2","2"
"2008-11-10 00:00:00","<java>","1","0","4","1","2"
"2008-11-10 00:00:00","<python>","9","4","11","","2"
"2008-11-12 00:00:00","<sql>","3","0","6","","2"
"2008-11-14 00:00:00","<c#>","2","0","8","6","3"
"2008-11-14 00:00:00","<python>","10","2","10","7","3"
"2008-11-15 00:00:00","<sql>","3","1","5","","1"
"2008-11-17 00:00:00","<python>","4","0","8","2","2"
"2008-11-17 00:00:00","<sql>","1","0","1","","1"
"2008-11-20 00:00:00","<c#>","5","2","6","","3"
"2008-11-20 00:00:00","<python>","","","2","","1"
"2008-11-21 00:00:00","<python>","","","1","1","1"
"2008-11-22 00:00:00","<sql>","2","0","4","2","1"
"2008-11-28 00:00:00","<sql>","0","0","6","","1"
"2008-11-30 00:00:00","<c#>","2","1","4","1","1"
"2008-11-30 00:00:00","<python>","5","2","4","","1"
"2008-12-01 00:00:00","<sql>","","","8","","1"
"2008-12-02 00:00:00","<c++>","5","1","2","","1"
"2008-12-02 00:00:00","<python>","19","4","17","3","5"
"2008-12-04 00:00:00","<c#>","10","1","7","","4"
"2008-12-10 00:00:00","<c#>","2","0","11","1","2"
"2008-12-10 00:00:00","<sql>","","","4","1","1"
"2008-12-11 00:00:00","<c#>","10","0","16","4","4"
"2008-12-13 00:00:00","<c++>","8","4","9","3","4"
"2008-12-13 00:00:00","<python>","1","0","4","","2"
"2008-12-18 00:00:00","<c++>","-2","0","3","2","1"
"2008-12-18 00:00:00","<sql>","7","3","11","14","1"
"2008-12-19 00:00:00","<java>","1","1","3","1","1"
"2008-12-24 00:00:00","<c#>","1","0","2","","1"
"2008-12-27 00:00:00","<c++>","2","0","2","1","1"
